cumPktCount,burstNum,burstSize,pktsBurst,pktsFlow,maxBytesFlow,fractionFlowBytes
1015,330,2593,2,1,1504,0.580023139221
1016,331,56,1,1,56,1.0
1018,332,1350,2,1,1304,0.965925925926
1019,333,343,1,1,343,1.0
1023,334,3033,4,1,1504,0.495878667985
1024,335,56,1,1,56,1.0
1025,336,50,1,1,50,1.0
1026,337,1504,1,1,1504,1.0
1027,338,50,1,1,50,1.0
1028,339,56,1,1,56,1.0
1029,340,1504,1,1,1504,1.0
1033,341,1676,4,1,1504,0.897374701671
1034,342,56,1,1,56,1.0
1035,343,56,1,1,56,1.0
1036,344,1504,1,1,1504,1.0
1037,345,897,1,1,897,1.0
1042,346,2582,5,1,1504,0.58249419055
1049,347,4317,7,1,1504,0.348390085708
1051,348,106,2,1,56,0.528301886792
1052,349,1504,1,1,1504,1.0
1055,350,2608,3,1,1504,0.576687116564
1056,351,56,1,1,56,1.0
1057,352,46,1,1,46,1.0
1059,353,175,2,1,99,0.565714285714
1062,354,1606,3,1,1504,0.936488169365
1065,355,983,3,1,863,0.877924720244
1069,356,198,4,1,56,0.282828282828
1070,357,1504,1,1,1504,1.0
1071,358,56,1,1,56,1.0
1072,359,46,1,1,46,1.0
1075,360,4512,3,1,1504,0.333333333333
1094,361,21028,19,6,9024,0.429142096253
1098,362,1524,4,1,1362,0.893700787402
1099,363,46,1,1,46,1.0
1100,364,1504,1,1,1504,1.0
1101,365,1504,1,1,1504,1.0
1103,366,119,2,1,69,0.579831932773
1104,367,1504,1,1,1504,1.0
1106,368,663,2,1,482,0.726998491704
1110,369,4583,4,1,1504,0.328169321405
1114,370,3100,4,2,3008,0.970322580645
1115,371,1486,1,1,1486,1.0
1120,372,1864,5,1,1504,0.80686695279
1123,373,1341,3,1,1245,0.92841163311
1124,374,1504,1,1,1504,1.0
1126,375,120,2,1,64,0.533333333333
1135,376,4292,9,1,1504,0.350419384902
1136,377,1504,1,1,1504,1.0
1146,378,2693,10,1,1504,0.55848496101
1150,379,204,4,1,56,0.274509803922
1151,380,1504,1,1,1504,1.0
1157,381,1357,6,1,963,0.709653647752
